#At time x allocated y bytes for process z from i to j
At time 3 allocated 100 bytes for process 1 from 0 to 127
At time 4 allocated 200 bytes for process 2 from 256 to 511
At time 7 allocated 150 bytes for process 3 from 512 to 767
At time 9 allocated 210 bytes for process 4 from 768 to 1023
At time 18 freed 210 bytes for process 4 from 768 to 1023
At time 21 allocated 230 bytes for process 5 from 768 to 1023
At time 23 freed 200 bytes for process 2 from 256 to 511
At time 24 freed 150 bytes for process 3 from 512 to 767
At time 26 allocated 160 bytes for process 6 from 256 to 511
At time 39 freed 160 bytes for process 6 from 256 to 511
At time 60 freed 100 bytes for process 1 from 0 to 127
At time 64 freed 230 bytes for process 5 from 768 to 1023
